boot	bucket	end	seconds	ctx596_divergence	reason	serial	ret_dispatch_refusals	resume_pc_refusals	percpu_stack_aliens	cpu_identity_splits	ret_stage_refusals	lr_nontext
1	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-1.txt	0	0	0	0	0	4
2	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-2.txt	0	0	0	0	0	4
3	GREEN	early	19	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-3.txt	0	0	0	0	0	4
4	GREEN	early	18	1	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-4.txt	0	0	0	0	0	4
5	GREEN	early	18	1	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-5.txt	0	0	0	0	0	6
6	GREEN	early	18	1	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-6.txt	0	0	0	0	0	6
7	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-7.txt	0	0	0	0	0	4
8	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-8.txt	0	0	0	0	0	4
9	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-9.txt	0	0	0	0	0	4
10	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-10.txt	0	0	0	0	0	6
11	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-11.txt	0	0	0	0	0	6
12	GREEN	early	18	1	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-12.txt	0	0	0	0	0	6
13	GREEN	early	19	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-13.txt	0	0	0	0	0	4
14	GREEN	early	18	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/arm/wt/.gate-tmp/service-sequence/output/max/serial-14.txt	0	0	0	0	0	4
